folio,text
1v,kchsy.chadaiin.ol oltchey.char.cfhar.am kchsy.chadaiin.ol oltchey.char.cfhar.aj kchry.chodaiin.ol oltchey.char.cfhar.am potoy.shol.dair.cphoal dar.chey.tody.otoaiin.shoshy potoy.shol.dair.cphoal dar.chey.tody.otoaiin.shoshy potoy.shol.dair.cphoal dar.chey.tody.otoaiin.shoshy choky.chol.cthol.shol.okal dolchey.chodo.lol.chy.cthy choky.chol.cthol shol.okal dolchey.chodo.lol.chy.cthy choky.chol.cthol.shol.okal dolchey.chodo.lol.chy.cthy okol.shol.kol.kechy.chol.ky chol.cthol.chody.chol.daiin okol shol.kol kechy.chol ky chol.cthol.chody.chol.daiin akol shol.kol kecha.chol ky chol.cthol.chody.chol.daiin okol.shol.kol.kechy.chol.ky chol.cthol.chody.chol.daiin shor.okol.chol.dol.ky.dar shol.dchor.otcho.dar.shody shor.okol.chol.dol.ky.dar shol.dchor.otcho.dar.shody shor.okol.chol.dol.ky.dar shol.dchor.otcho.dar.shody
2r,kydainy.ypchol.daiin.otchal ypchaiin.ckholsy kydainy.ypchol.daiin.otchal ypchaiin.ckholsy kydainy.ypchol.daiin.otchal ypchaiin.ckholsy dorchory chkar.s shor.cthy.cth dorchory chkar.s shor.cthy. dorchory chkar.s shor.cthy.ctho qotaiin cthey.y chor.chy.ydy chaiin qotaiin cthey.y chor.chy.ydy chaiin qotaiin cthey.y chor.chy.ydy chaiin chaindy chtod.dy cphy.dal s chokaiin.d aiidy chtod.dy cphy.dal.s chokaiin.d shaiidy chtod dy cphy.dal s chokaiin.d otochor.al shodaiin chol. dan ytchaiin.dan otochor.al shodaiin chol.chan ytchaiin.dan otochor.al shodaiin chol. dan ytchaiin.dan saiin.daind d kol.sor ytoldy dchol.dchy.cthy saiin.daind d.kol.sor ytoldy dchol.dchy.cthy saiin.daind d kol.sor ytoldy dchol.dchy.cthy shor.ckhy.daiiny chol.dan shor.ckhy.daiiny chol.dan shor.ckhy.daiiny chol.dan kydain.shaiin.qoy.s.shol.fodan yksh.olsheey.daiildy kydain.shaiin.qoy.s.shol.fodan ytsh.olsheey.daiildy kydain.shaiin.qoy.s.shol.fodan yksh.olsheey.daiildy dlssho.kol.sheey.qokey.ykody.so chol.yky.dain.daiirol dlssho.kol.sheey.qokey.ykody.so chol.yky.dain.daiirdl dlssho.kol.sheey.qokey.ykody.so chol.yky.dain.daiirol qoky.cholaiin.shol.sheky.daiin cthey.keol.s aiin.saiin qoky.cholaiin.shol.sheky.daiin cthey.keol.s aiin.saiin qoky.cholaiin.shol.sheky.daiin cthey.keol.s.aiin.saiin ychain.dal.chy.dalor.shan.dan olsaiin.sheey.ckhor ychain.dal.chy.dalor.shan saiin.sheey.ckhor ychain.dal.chy.dalor.shan.dan olsaiin.sheey.ckhor okol.chy.chor.cthor.yor.an.chan saiin.chety.chyky.sal okol.chy.chor.cthor.yor.an.chan saiin.chety.chyky.sal okol.chy.chor.cthor.yor.an.chan saiin.chety.chyky.sal sho.ykeey.chey.daiin.chcthy sho.ykeey.chey.daiin.chcthy sho.ykeey.chey.daiin.chcthy
2v,kooiin.cheo.pchor.otaiin.o.dain.chor dair.shty kooiin.cheo pchor.otaiin.o dain.chor dair.shty kaoiin.cheo pchor.otaiin.o dain.chor dair.shty kooiin.cheo.pchor.otaiin.o dain.chor dair.shty kaoiin.cheo.pchor.otaiin.o dain.chor dair.shty kcho.kchy.sho.shol.qotcho.loeees.qoty chor.daiin kcho kchy.sho.shol.qotcho.loeees.qoty chor.daiin kcha kchy.sho.shol.qotcho.loeees.qoty chor.daiin kcho.kchy.sho.shol.qotcho.loeees.qoty chor.daiin kch .kchy.sho.shol.qotsho.loeees.qoty chor.daiin otchy.chor.lshy.chol.chody.chodain chcthy.daiin otchy.chor.lshy.chol.chody.chodain chcthy.daiin otchy.chor.lshy.chol.chody.chodain chcthy.daiin otchy.chor.lshy.chol.chody.shodain chcthy.daiin sho.cholo.cheor.chodaiin sho.cholo.cheor.chodaiin sho.cholo.cheor.chodaiin sho.cholo.cheor.chodaiin kchor.shy.daiiin.chckhoy s.shey.dor.chol.daiin kchor.shy.daiiin.chckh y s shey.dor.chol.daiin kchor.shy.daiiin.chckhoy s shey.dor.chol.daiin kchor.shy.daiiin.chck om s shey.dor.chol.daiin dor.chol.chor.chol.keol.chy.chty daiin.otchor.chan dor.chol.chor.chol.keol.chy.chty daiin.otchor.chan dor.chol.chor.chol.keol.chy.chty daiin.otchor.chan dor.chol.chor.chol.keol.chy.chty daiin.otchor.chan daiin.chotchey.qoteeey.chokeos chees.chr.cheaiin daiin.chotchey.qoteeey.chokeos chees.chr.cheaiin daiin.chotchey.qoteeiy.chokios chees.chr.cheaiin daiin.chotchey.qoteeey.chokeos chees.chr.cheaiin daiin.chotchey.qotchey.chokeos chees.chr.cheaiin chokoishe.chor.cheol.chol.dolody chokoishe.chor.chiol.chol.dolody chokoishe.chor.cheol.chol.dolody chokolshe.chor.cheol.chol.dolody
3r,tsheos.qopal.chol.cthol.daimm tsheos.qopal.chol.cthol.daimg tsheos.qopal.chol.cthol.daimm ochor.qocheor.chol.daiin.cthy ochar.qacheor.chol.daiin.cthy ochor.qocheor.chol.daiin.cthy qokol.chololy.s.cham.cthol qokol.chololy.s.cham.cthol qokol.chololy.s.cham.cthol ychtaiin.chor.cthom.otal.dam ychtaiin.chor.cthom.otol dam ychtaiin.chor.cthom.otal.dam otchol.qodaiin.chom.shom.damo otchol.qodaiin.chom.shom.damo otchol.qodaiin.chom.shom.damo ysheor.chor.chol.oky.damo ysheor.chor.chol.oky.dago ysheor.chor.chol.oky.damo ydas.chol.cthom ydas.chol cthom ydar.chol.cthom okadaiin.qokchor.qoschodam.octhy okadaiin.qokchor.qoschodam.octhy okadaiin.qokchor.qoschodam.octhy tsheoarom.shor.or.chor.olchsy.chom.otchom oporar tsheoarom.shor.or.chor.olchsy.chom.otchom oporar tsheoarom.shor.or.chor.ofchsy.chom.otchom oporar oteol.chol.s.cheol.ekshy.qokeom.qokol.daiin soleeg oteol.chol.s.cheol.ekshy.qokeom.qokol.daiin soleeg oteol.chol.s.cheol.ekshy.qokeom.qokol.daiin soleem pcheoldom.shodaiin.qopchor.qopol.opchol.qoty otolom pcheoldom.shodaiin.qopchor.qopol.opchol.qoty otolom pcheoldom.shodaiin.qopchor.qopol.opchol.qoty otolom otchor.ol.cheor.qoeor.dair.qoteol.qosaiin chor.cthy otchor.ol cheor.qoeor.dair.qoteol.qosaiin chor.cthy otchor.ol.cheor.qoeor.dair.qoteol.qosaiin chor.cthy ycheor.chol.odaiin.chol.s.aiin.okol or.am ycheor.chol.odaiin.chol.s.aiin.okol.or.am ycheor.chol.odaiin.chol.s aiin.okol or.am
3v,koaiin.cphor.qotoy.sha.ckhol.ykoaiin.s.oly koaiin.cphor.qotoy.sha.ckhol.ykoaiin.s.oly koaiin.cphar.qotoa.sha.ckhol.ykoaiin.s.oly koaiin.cphor.qotoy.sha.ckhol.ykoaiin.s.oly koaiin.cphor.qotoy.sha.ckhol.ykoaiin.s.oly daiidy.qotchol.okeeor.okor.olytol.dol.dar daiida.qotchol.okchor.okor.olytol.dol.dar daiidy.qotchol.okchor.okor.olytol.dol.dar okom.chol.shol.seees.chom.cheeykam.okai okom.chol.shol.seees.chom.cheeykam.o ai okom.chol.shol.seees.chom.cheeykam.okai okom.chol.shol.sches.chom.cheeykam.okai ochor.daiin.qokshol.daiim.chol.okary ochas.daiin.qokshol.daiim.chol.okary ochar.daiin.qokshol.daiim.chol.okary ochor.daiin.qokshol.daiim.chol.okary ochor.daiin.qokshol.daiim.chol.okary sho.shockho.ckhy.tchor.chodaiin.chom sho.shockho.ckhy.tchor.chodaiin.chom sho.shockho.ckhy.tchor.chodaiin.chom sho.shockho.ckhy.tchor.chodaiin.chom shar.shkaiin.qokchy.yty.cthal.chky shar.shkaiin.qokchy.yty.cthal.chky shar.shkaiin.qokchy.yty.cthal.chky shar.shkaiin.qokcha.yty.cthal.chky
4r,dchor.chol.shol.cthol.shtchy.chaiin s choraiin.chom dchor.shol.shol.cthol.shtchy.chaiin s choraiin.chom dchor.chol.shol.cthol.shtchy.chaiin s choraiin.chom otchol.chol.chy.chaiin.qotaiin daiin.shain otchol.chol.chy.chaiin.qotaiin daiin.shain otchol.chol.chy.chaiin.qotaiin daiin.shain qotchol.chy.yty.daiin. okaiin.cthy qotchol.chy.yty.daiin.qokaiin.cthy qotchol.cha.yty.daiin. okaiin.cthy qotchol.chy.yty.daiin. okaiin.cthy pydaiin.qotchy.dy.tydy pydaiin.qotchy. tydy pydaiin.qotchy. tady pydaiin.qotchy.dy.tydy chor.shy tchy.dy.tcheay chor.shy tchy.dy cheey chor.shy tchy.dy tch ay chor.shy.tchy.dy.tcheey qotaiin.cthol.daiin.cthom qotoiin.cthol.daiin.cthom qotaiin.cthol.daiin.cthom qotaiin.cthol.daiin.cthom shor.shol.shol.cthy.cpholdy shor.shol.shol.cthy.cpholdy chor.chol.shol.cthy.cpholdy daiin.ckhochy.tchy.koraiin daiin.ckhochy.tchy.koraiin daiin.ckhochy.tchy.koraiin odal.shor.shyshol.cphaiin odal.shor.shyshol.cphaiin odal.shor.shyshol.cphaiin soiin.chaiin.chaiin soiin.chaiin.chaiin soiin.chaiin.chaiin daiin.cthey daiin.cthey daiin.cthey
4v,ol.chey.chy.cthy.shkchor.sheo.cheory choldy ol.chey.chy.cthy.chkchor.sheo.cheory choldy ol chey.chy.cthy.shkchor.sheo.cheory choldy ol chey.chy.cthy.shkchor.sheo.cheory choldy sho.sho.chaiin.shaiin.daiin.qodaiin o.ar.am cho.sho.chaiin.shaiin.daiin.qodaiin o.ar.am sho.sho.chaiin.shaiin.daiin.qodaiin o ar am cho.sho.chaiin.shaiin.daiin.qodaiin o ar am qokshy.qocthy.choteol.daiin.cthey choaiin qokchy.qocthy.choteol.daiin.cthey choaiin qokshy.qocthy.choteol.daiin.cthey choaiin qokchy.qocthy.choteol.daiin.cthey choaiin shor.sheey.ct o.otoiin.shey.qotchoiin chodain shor.sheey. .otoiin.shey.qotchoiin chodain shor.sheey.cth .otoiin.shey.qotchoiin chodain shor.sheey.ct o.otaiin.chey.qotchoiin chodain torchy.sheeor.chor.shokchy.cphy dy torchy.sheeor.chor.chokchy. p y dy torchy.sheeor.chor.chokchy.cphy dy torshy.cheeor.chor.chokchy.cphy.dy qooko.iiin cheom.chcthy.shoky.daiin qooko iiin.cheod.chcthy.shoky.daiin qooko.iiin cheom.chcthy.shoky.daiin qooko iiin.cheom.chcthy.shoky.daiin otaiin.sheo.okeody.chol.chokeody otaiin.sheo.okeody.chol.chokeody otaiin.sheo.okeody.chol.chokeody otaiin.sheo.oteody.chol.choteody sho.kcheor.shody.shtaiin.qotol.daiin sho kcheor.shooy.shtaiin.qotol.daiin sho.kcheor.shody.shtaiin.qotol.daiin sho kcheor.shody.shtaiin.qotol.daiin shody.s.cheor.chokody.shodaiin.qoty shody.s.cheor.chokody.shodaiin.qoty shody.s.cheor.chokody.shodaiin.qoty shody.s.cheor.chokody.shodaiin.qoty
5r,kshody.fchoy.chkoy.oaiin.oar.olsy.chody.dkshy.dy kchody.fchoy.chkoy.oaiin.oar.olsy.chody.dkchy.dy kshody.pchoy.chkoy.oaiin.oar.olsy.chody.dkshy.dy ochey.okey.qokaiin.sho.ckhoy.cthey.chey.oka or.otol ochey.okey.qokaiin.sho.ckhoy.cthey.chey.oka os.otol ochey.okey.qokaiin.sho.ckhoy.cthey.chey.ok or.otol qoaiin.otan.chy.daiin.oteeen.cho.cthy.otchy.qotcho.dy qoaiin.otan.chy.daiin.oteee .cho cthy.otchy.qotcho dy qoaiin.otan.chy.daiin.oteeen.cho.cthy.otchy.qotcho dy tshy.shody.qoaiin.cholols.sho.qotcheo.daiin.shodaiin teey.shody.qoaiin.cholols.sho.qotcheo.daiin.shodaiin tshy.shody.qoaiin.cholols.sho.qotcheo.daiin.shodaiin sho.cheor.chey.qoeeey.qoykeeey.qoeor.cthy.shotshy.dy sho.cheor.chey.qoeeey.qoykeeey.qoeor.cthy.shotshy.dy sho.cheor.chey.qoeeey.qoykeeey.qoeor.cthy.shotshy.dy
5v,k o cheor.chor.ytchey.pshod.chols.chodaiin.ytoiiin.daiin k o cheor.chor.ytchey.pshod.chols.chodaiin.ytoiiin.daiin k.o.cheor.chor.ytchey.pshod.chols.chodaiin.ytoiiin.daiin k o cheor.char.ytchey.pshod.chols.chodaiin.ytoiiin.daiin dchol.s y.chol.otaiin.dain.cthor.chots.ychopor dg dchol. .chol.otaiin.dain.cthor.chot .ychopor dg dchol.sh y.chol.otaiin.dain.cthor.chots.ychopor dm dchol.s y.chol.otaiin.dain.cthor.chot .ychopor.dm qotcho.ytor.daiin.daiin.otchor.daiir.qo .darchor.do qotcho.ytor.daiin.daiin.otchor.daiin.qo .darchor.dd qotcho.ytor.daiin.daiin.otchor.daiin.qo .darchor.do qotcho.ytor.daiin.daiin.otchor.daiin.qo .darchor.do qotor.shees.otol.ykoiin.shol.daiin.cthor.okchy.taiin qotor.shees.otol.ykoiin.shol.daiin.cthor.okchy kaiin qotor.shees.otof.ykoiin.shol.daiin.cthor.okchy.taiin qotor.shees.otol.ykoiin.shol.daiin.cthor.okchy.taiin shokeeol.chor.cheotol.otchol.daiin.dal.chol.chotaiin shokeeol.chor.cheotol.otchol.daiin.dal.chol.chotaiin shokeeol.chor.cheotol.otchol.daiin.dal.chol.chotaiin shokeeol.chor.cheotol.otchol.daiin.dal.chol.chotaiin otol.chol.dairodg otol.chol.dairodg otof.chol.dairodd otol.chol.dairodm
6r,foar.y.shol.cholor.cphol.chor.chckh chopchol.otcham poar.y.shol.cholor.cphol.chor.chckh chopchol.oteeam foar.y.shol.cholor.cphol.chor.chckh chopchol.otcham daiin.chckhy.chor.chor.kar.cthy cthor.chotols daiin.chckhy.chor.chor.kar.cthy cthor.chotols daiin.chckhy.chor.chor.kar.cthy cthor.chotols poeear.kshor.choky.os.cheoee s ykeor.ytaiin.dar foeear.kshor.choky.os.cheoeees ykeor.ytaiin.dam poeear.kshor.choky.os.cheoee s ykeor.ytaiin.dam tar.okoiin.shees.ytaly.cthaiin odam tor.okoiin.shees.ytaly.cthaiin odam tar.okoiin.shees.ytaly.cthaiin odam or.al.daiin.ckham.okom.cthaiin ydaiin or.al.daiin.ckham.okam.cthaiin ydaiin or.al.daiin.ckham.okom.cthaiin ydaiin daiin.qodaiin.cho.s.chol.okaiin.s daiin.qodaiin.cho.s.chol.okaiin.s ychol.ckhor.pchar.sheo.ckhaiin ychol.ckhor.pchar.sheo.ckhaiin ychol.ckhor.pchar.shea.ckhaiin dar.sheeol.skaiiodar.otaiin.chory dar.she ol.skaiiodar.otaiin.chory dar.sheeol.skaiiodar.otaiin.chory tchor.ctheod.chy.shor.od she.od tchor.ctheod.chy.shor.od.she.od tchor.ctheod.chy.shor.od she.od ychar.olchad.ol.chokaiin ychar.olcham.ol.chokaiin ychar.olchad.ol chokaiin qocthol.qodaiin.cthy qocthol.qodaiin.cthy qocthol.qodaiin.cthy ysho.taiin.y.kaiim osho.taiin.y.kaiim ysho.taiin.y kaiim
