folio,context,unigram_entropy_bits,bigram_entropy_bits,type_token_ratio,lexicon_alignment,top10_bigram_conc,baseline_mean_conc,baseline_std_conc,z_score,p_value_one_tailed,clauses_kept,sensitivity_drop_pct
1r,botanical,3.906,6.6694,0.0298,0.9339,0.2334,0.1537,0.007889,10.111,0.0,40,5.9
1v,botanical,3.7533,6.0321,0.095,0.9385,0.3034,0.2356,0.016298,4.157,1.6e-05,11,6.7
2r,botanical,3.9396,6.5024,0.0635,0.9197,0.2517,0.1719,0.009882,8.075,0.0,24,5.83
2v,botanical,3.8841,6.0883,0.0766,0.9324,0.3303,0.1805,0.01245,12.03,0.0,15,8.0
3r,botanical,3.978,6.4195,0.0625,0.8993,0.2753,0.1452,0.009838,13.222,0.0,29,10.62
3v,botanical,3.6853,5.8758,0.0817,0.9471,0.3768,0.2517,0.013971,8.954,0.0,11,2.04
4r,botanical,3.8599,6.0399,0.0759,0.8973,0.3184,0.1806,0.012142,11.345,0.0,23,8.23
4v,botanical,3.981,6.2354,0.0853,0.9052,0.2571,0.1626,0.010765,8.778,0.0,20,10.57
5r,botanical,3.9348,6.0106,0.1084,0.9217,0.297,0.1828,0.015193,7.515,0.0,13,9.91
5v,botanical,3.9561,6.2681,0.0865,0.9231,0.2754,0.1787,0.013225,7.311,0.0,16,7.74
6r,botanical,3.8476,6.3123,0.0714,0.9524,0.2829,0.1971,0.01226,6.993,0.0,12,5.18
6v,botanical,3.9139,6.3718,0.0766,0.9144,0.267,0.162,0.010806,9.717,0.0,19,9.18
7r,botanical,3.9332,6.2843,0.0726,0.9315,0.3036,0.1783,0.012265,10.216,0.0,17,9.22
7v,botanical,3.9047,6.2502,0.0708,0.9125,0.3013,0.1759,0.012526,10.006,0.0,21,7.15
8r,botanical,3.9855,6.6079,0.0544,0.9154,0.2515,0.1471,0.008942,11.677,0.0,28,8.71
8v,botanical,3.8095,6.4211,0.0475,0.9385,0.2521,0.1725,0.009462,8.409,0.0,22,6.77
9r,botanical,3.9156,6.3867,0.0691,0.9236,0.2883,0.1837,0.011798,8.871,0.0,21,7.88
9v,botanical,3.9519,6.5778,0.0523,0.9157,0.2682,0.1626,0.00948,11.146,0.0,29,6.71
10r,botanical,3.8696,6.2435,0.0594,0.8951,0.3053,0.1742,0.010133,12.936,0.0,30,9.82
10v,botanical,3.973,6.014,0.1049,0.8704,0.3292,0.1709,0.016585,9.546,0.0,21,7.89
11r,botanical,3.9313,6.3089,0.1,0.9,0.2458,0.1977,0.013344,3.609,0.000154,18,9.2
11v,botanical,3.9052,6.1559,0.0706,0.9137,0.2913,0.1822,0.011344,9.621,0.0,22,8.75
13r,botanical,3.9632,6.3216,0.0793,0.8987,0.2876,0.1636,0.012036,10.305,0.0,23,9.4
13v,botanical,3.9723,5.9634,0.1105,0.8837,0.3216,0.1832,0.014407,9.61,0.0,20,9.24
14r,botanical,3.9532,6.1609,0.0882,0.9069,0.2906,0.1719,0.010148,11.701,0.0,19,9.76
14v,botanical,3.8137,6.078,0.0837,0.8916,0.3218,0.1906,0.013163,9.964,0.0,22,11.41
15r,botanical,3.7635,6.2472,0.0503,0.9371,0.2871,0.1914,0.011064,8.648,0.0,20,3.05
15v,botanical,3.9253,5.8701,0.125,0.875,0.3407,0.187,0.015463,9.94,0.0,17,9.91
16r,botanical,4.0302,6.402,0.0779,0.9091,0.2609,0.1578,0.009632,10.7,0.0,21,8.94
16v,botanical,3.9253,6.2491,0.0776,0.9178,0.2615,0.1746,0.010937,7.939,0.0,18,11.49
17r,botanical,3.8329,6.0955,0.0756,0.937,0.3418,0.2269,0.011785,9.745,0.0,15,5.86
17v,botanical,3.8082,6.355,0.0356,0.9348,0.3485,0.2027,0.009166,15.914,0.0,33,6.46
18r,botanical,3.8476,6.3231,0.0703,0.9102,0.2902,0.1874,0.012889,7.978,0.0,23,6.8
18v,botanical,3.8796,5.796,0.1119,0.8741,0.3521,0.19,0.01625,9.979,0.0,18,6.99
19r,botanical,3.8378,5.9881,0.085,0.88,0.3266,0.1779,0.012432,11.962,0.0,24,8.83
19v,botanical,3.8352,6.2172,0.0545,0.9263,0.3376,0.1968,0.009845,14.309,0.0,23,6.05
20r,botanical,3.6934,6.0057,0.0679,0.9585,0.3636,0.237,0.012502,10.126,0.0,11,4.59
20v,botanical,4.0431,6.6222,0.0623,0.918,0.2434,0.1506,0.008959,10.366,0.0,25,11.14
21r,botanical,3.9808,6.4245,0.0651,0.9212,0.2784,0.1697,0.009428,11.524,0.0,23,8.13
21v,botanical,3.8681,5.8787,0.0806,0.9242,0.3429,0.185,0.012029,13.125,0.0,16,8.69
22r,botanical,3.9414,6.4599,0.0559,0.9059,0.2773,0.155,0.009148,13.367,0.0,32,8.46
22v,botanical,3.9223,6.3666,0.0549,0.9146,0.2722,0.1632,0.009571,11.383,0.0,28,8.17
23r,botanical,3.9203,6.3707,0.0517,0.8764,0.3112,0.154,0.009189,17.106,0.0,43,6.35
23v,botanical,3.9448,6.4076,0.0535,0.9127,0.2797,0.1724,0.008489,12.639,0.0,31,8.31
24r,botanical,4.0751,6.47,0.0809,0.9106,0.2479,0.1436,0.008482,12.292,0.0,21,9.21
24v,botanical,3.8325,6.0752,0.0776,0.9429,0.377,0.2228,0.012452,12.387,0.0,14,9.26
25r,botanical,3.9125,5.5899,0.1651,0.9266,0.3519,0.2225,0.015669,8.252,0.0,8,7.66
25v,botanical,4.0285,5.9687,0.0905,0.8794,0.3333,0.1588,0.010887,16.033,0.0,24,8.6
26r,botanical,3.8849,6.3052,0.0556,0.9074,0.3282,0.198,0.01065,12.219,0.0,30,6.09
26v,botanical,3.7243,6.0302,0.0459,0.9286,0.3913,0.2499,0.01109,12.749,0.0,28,3.83
27r,botanical,3.9105,6.1228,0.0826,0.9128,0.3364,0.1668,0.011229,15.105,0.0,19,9.0
27v,botanical,3.7199,5.5214,0.1975,0.8889,0.375,0.281,0.020727,4.535,3e-06,9,10.64
28r,botanical,3.8549,6.2335,0.0698,0.9186,0.2879,0.1884,0.011305,8.807,0.0,21,8.22
28v,botanical,3.9812,6.2941,0.0649,0.8969,0.3103,0.1449,0.010329,16.017,0.0,27,9.12
29r,botanical,3.8957,5.8295,0.1018,0.8802,0.3614,0.1908,0.014755,11.564,0.0,20,9.14
29v,botanical,3.761,6.3213,0.0645,0.9274,0.2753,0.2063,0.0121,5.703,0.0,18,6.7
30r,botanical,3.7312,6.0599,0.0615,0.9385,0.3831,0.2603,0.012067,10.177,0.0,19,5.45
30v,botanical,3.9526,6.229,0.0942,0.9162,0.2684,0.1748,0.011135,8.409,0.0,16,9.2
31r,botanical,3.8609,6.1177,0.0451,0.8997,0.3894,0.1916,0.009606,20.597,0.0,40,4.35
31v,botanical,3.8143,6.0912,0.0604,0.9396,0.3737,0.2283,0.012079,12.037,0.0,18,6.55
32r,botanical,3.8732,6.1508,0.0667,0.9148,0.3383,0.1881,0.010839,13.858,0.0,23,6.6
32v,botanical,3.9868,6.3908,0.0662,0.9118,0.2731,0.1477,0.010821,11.587,0.0,24,9.2
33r,botanical,4.0122,6.4127,0.0614,0.901,0.3048,0.1423,0.009263,17.538,0.0,29,6.24
33v,botanical,3.879,6.5163,0.0497,0.8867,0.2659,0.1605,0.008826,11.944,0.0,41,7.87
34r,botanical,3.9146,6.2575,0.0507,0.8896,0.3114,0.1493,0.009663,16.773,0.0,37,6.45
34v,botanical,3.9488,6.3781,0.0429,0.9052,0.319,0.1532,0.00801,20.7,0.0,42,6.96
35r,botanical,3.9398,6.3017,0.0582,0.8938,0.3127,0.1524,0.010085,15.901,0.0,31,8.73
35v,botanical,3.8894,6.2598,0.059,0.9201,0.324,0.1525,0.00854,20.086,0.0,23,7.47
36r,botanical,3.9317,6.3666,0.0793,0.9339,0.2566,0.1827,0.013921,5.31,0.0,15,6.89
36v,botanical,3.8665,6.2371,0.0837,0.9209,0.2757,0.2031,0.01258,5.774,0.0,17,5.65
37r,botanical,3.9726,6.2315,0.0773,0.8798,0.3017,0.155,0.010056,14.593,0.0,28,8.72
37v,botanical,3.9287,6.5214,0.057,0.8993,0.266,0.1582,0.008934,12.064,0.0,30,9.02
38r,botanical,3.6563,5.0263,0.1667,0.9062,0.5263,0.2729,0.020695,12.243,0.0,9,5.76
38v,botanical,3.8753,5.9254,0.0733,0.8879,0.3766,0.1702,0.013546,15.242,0.0,26,6.91
39r,botanical,4.0043,6.7337,0.03,0.9067,0.2588,0.1286,0.006904,18.86,0.0,56,6.75
39v,botanical,3.9751,6.6538,0.0347,0.8998,0.2722,0.1349,0.007041,19.502,0.0,52,7.33
40r,botanical,3.8659,6.2225,0.0566,0.8899,0.3155,0.1686,0.010408,14.111,0.0,35,8.17
40v,botanical,3.9803,6.4627,0.0371,0.9031,0.3161,0.1344,0.007726,23.523,0.0,47,6.26
41r,botanical,3.7606,5.9415,0.0493,0.8928,0.3953,0.2026,0.011822,16.302,0.0,37,8.44
41v,botanical,3.7718,6.0047,0.0545,0.9333,0.3343,0.2342,0.011204,8.939,0.0,22,4.51
42r,botanical,3.852,6.4755,0.0375,0.9506,0.2693,0.1804,0.008868,10.027,0.0,25,6.91
42v,botanical,3.7022,6.1158,0.0529,0.9412,0.3687,0.2316,0.010705,12.813,0.0,20,2.42
43r,botanical,3.859,6.5805,0.0365,0.9108,0.2886,0.1748,0.008826,12.898,0.0,44,5.19
43v,botanical,3.7886,6.3906,0.0314,0.9338,0.3333,0.2069,0.009048,13.974,0.0,38,3.48
44r,botanical,4.0,6.3359,0.0861,0.9139,0.2596,0.1675,0.009967,9.238,0.0,18,9.87
44v,botanical,3.8588,6.3224,0.0578,0.9286,0.2662,0.1895,0.011001,6.974,0.0,21,6.34
45r,botanical,3.7447,6.1972,0.0489,0.9339,0.3256,0.2087,0.01145,10.211,0.0,23,3.26
45v,botanical,3.9265,6.4516,0.0641,0.9146,0.2786,0.1643,0.0104,10.985,0.0,24,8.88
46r,botanical,4.0023,6.6867,0.0326,0.9005,0.2766,0.1328,0.007038,20.433,0.0,58,6.72
46v,botanical,3.9292,6.3128,0.0541,0.9009,0.3133,0.1606,0.009569,15.958,0.0,33,6.6
47r,botanical,3.9556,6.1495,0.0802,0.8776,0.3263,0.1551,0.011586,14.769,0.0,29,6.47
47v,botanical,3.8676,6.2182,0.0753,0.9247,0.2983,0.188,0.011678,9.443,0.0,18,9.62
48r,botanical,3.6633,6.1308,0.0429,0.9369,0.3696,0.2439,0.011709,10.741,0.0,25,1.5
48v,botanical,3.6509,5.9618,0.0479,0.9309,0.408,0.2726,0.011339,11.942,0.0,26,1.22
49r,botanical,3.964,6.5552,0.0554,0.9153,0.268,0.147,0.009003,13.434,0.0,26,11.33
49v,botanical,3.9827,6.4465,0.0387,0.9226,0.3,0.1397,0.00714,22.447,0.0,38,11.33
50r,botanical,3.9405,6.1517,0.055,0.9205,0.3466,0.1658,0.010267,17.614,0.0,26,4.98
50v,botanical,3.9063,6.1559,0.0584,0.8994,0.342,0.1614,0.009228,19.569,0.0,31,6.57
51r,botanical,3.7696,6.2854,0.0642,0.9396,0.2992,0.2113,0.013039,6.744,0.0,16,3.37
51v,botanical,3.9411,6.3563,0.0605,0.9108,0.2716,0.1517,0.008638,13.874,0.0,28,6.9
52r,botanical,3.8278,6.3983,0.0804,0.933,0.2646,0.2051,0.012685,4.687,1e-06,15,2.83
